factor,f_stat,p_value
dominant_race,73.82175430950527,2.067699780656876e-58
income_bucket,466.48012078591563,4.497050455096056e-284
amenity_bucket,0.5492979452054776,0.4586917920330315
city,26.785040972832412,4.462734491217265e-44
